company_name;founded;industry;location;about;stage;amount;Table
LoadShare;2017;Logistics & Supply Chain;Bangalore;LoadShare is one of India's fastest-growing logistics companies with a  far-reaching express and logistics network;Series C;37200000;2022
Lummo;2019;SaaS;Bangalore;Lummo exists for entrepreneurs filled with motivation and a zeal to grow.;Series C;74400000;2022
Uniphore;2008;Computer Software;Chennai;Uniphore is the global leader in Conversational Service Automation (CSA), which combines the power of artificial intelligence, automation technology and machine learning.;Series E;372000000;2022
ElasticRun;2016;B2B E-commerce;Pune;ElasticRun is a Kirana Commerce Platform. It enables businesses to reach small Kirana stores in the deep rural parts of India.;Series E;279000000;2022
DealShare;2018;Social commerce;Bangalore;Dealshare is a fast growing social e-commerce startup, an online buying platform for multi-category consumer products, focused on the new 'WhatsApp first' India.;Series E;41850000;2022
Livspace;2015;Home interior;Bangalore;Livspace is a trusted interior design marketplace that connects interior designers, vendors and customers across India and Singapore.;Series F;167400000;2022
Xpressbees;2015;Logistics & Supply Chain;Pune;Fastest growing express logistics service provider in India catering to end-to-end supply chain solutions.;Series F;279000000;2022
Bugworks;2014;Biotechnology;Bangalore;Path breaking solutions to large unmet needs in Antimicrobial resistance (AMR) and immuno-oncology.;Series B1;16740000;2022
Kritsnam;2015;Information Technology & Services;Hyderabad;Kritsnam Technologies has evolved from IIT Kanpur research and innovation centre with a vision towards data-driven water management.;Pre-series A;744000;2022
SatSure;2017;Defense & Space;Bangalore;SatSure is an innovative decision analytics company;Pre-series A;4650000;2022
SandLogic;2018;Computer Software;Bangalore;SandLogic (SL) is an Enterprise AI company, born with a passion to deliver the AI that powers Enterprises.;Pre-series A;3720000;2022
Dvara SmartGold;2019;Financial Services;Mumbai;Investment service to financially integrate every household in the country through a uniquely curated gold savings plan.;Pre-series A;1860000;2022
Kofluence;2019;Marketing & Advertising;Bangalore;Kofluence connects Brands to Social Media Influencers.;Pre-series A;3720000;2022
Spacejoy;2019;Design;Bangalore;Building the future of home designs by weaving art and interactive 3D technology to enable the joy of designing homes in simple and easy steps.;Pre-series A;3720000;2022
